epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,2112.3,1.23222,0.84188,1.10636,0.74788,0.70914,0.77726,0.50452,1.42272,1.01482,1.26368,0.000709809,0.000709809,0.000709809
60,2147.56,1.21427,0.82206,1.10044,0.76733,0.70791,0.78077,0.50232,1.43095,0.99183,1.28323,0.000693305,0.000693305,0.000693305
61,2182.66,1.21792,0.82102,1.0996,0.78224,0.68453,0.76454,0.48511,1.45009,1.00191,1.29589,0.000676802,0.000676802,0.000676802
62,2217.83,1.21408,0.81004,1.09943,0.76511,0.70679,0.77082,0.49396,1.42177,0.98716,1.28039,0.000660299,0.000660299,0.000660299
63,2253.24,1.20088,0.80335,1.09166,0.78771,0.71918,0.79342,0.51216,1.4227,0.9723,1.27325,0.000643795,0.000643795,0.000643795
64,2288.41,1.19099,0.79844,1.08669,0.79536,0.7069,0.78564,0.50958,1.4321,0.98378,1.28388,0.000627292,0.000627292,0.000627292
65,2323.77,1.1816,0.79586,1.08875,0.80096,0.71729,0.79373,0.50223,1.44342,0.96082,1.28526,0.000610789,0.000610789,0.000610789
66,2359.51,1.16775,0.78064,1.08281,0.77274,0.69769,0.78299,0.51134,1.39855,0.98501,1.27267,0.000594286,0.000594286,0.000594286
67,2394.87,1.1706,0.76511,1.08701,0.80618,0.69147,0.78487,0.50857,1.41762,0.97825,1.2854,0.000577782,0.000577782,0.000577782
68,2430.02,1.15466,0.77057,1.07258,0.77758,0.71654,0.78086,0.52058,1.38661,0.98114,1.26715,0.000561279,0.000561279,0.000561279
69,2465.46,1.14983,0.76769,1.06233,0.79375,0.72462,0.79689,0.52476,1.39749,0.94231,1.2859,0.000544776,0.000544776,0.000544776
70,2500.59,1.12643,0.75378,1.0645,0.75778,0.72788,0.78528,0.51621,1.36956,0.96001,1.26005,0.000528272,0.000528272,0.000528272
71,2535.89,1.13571,0.75141,1.06571,0.77839,0.7412,0.7926,0.52141,1.38564,0.93915,1.26836,0.000511769,0.000511769,0.000511769
72,2570.93,1.14436,0.75489,1.06862,0.79911,0.72636,0.7975,0.50699,1.45016,0.94424,1.30085,0.000495266,0.000495266,0.000495266
73,2606.5,1.13593,0.74848,1.07006,0.76105,0.74027,0.78877,0.51828,1.403,0.94891,1.28544,0.000478762,0.000478762,0.000478762
74,2641.65,1.14133,0.74894,1.07129,0.75361,0.72172,0.78114,0.51332,1.40304,0.97643,1.27446,0.000462259,0.000462259,0.000462259
75,2676.9,1.1271,0.73081,1.05855,0.76209,0.71214,0.78042,0.50238,1.3892,0.97202,1.27477,0.000445756,0.000445756,0.000445756
76,2711.95,1.12208,0.74104,1.05315,0.79376,0.70202,0.79186,0.5171,1.40926,0.94726,1.27761,0.000429253,0.000429253,0.000429253
77,2747.45,1.12091,0.74544,1.06073,0.78638,0.73246,0.80413,0.53378,1.38138,0.93697,1.27341,0.000412749,0.000412749,0.000412749
78,2782.99,1.09035,0.71353,1.04426,0.79073,0.74077,0.80322,0.52655,1.37706,0.93325,1.26916,0.000396246,0.000396246,0.000396246
79,2818.27,1.09626,0.72256,1.0545,0.79825,0.73324,0.81004,0.53426,1.37852,0.9254,1.26372,0.000379743,0.000379743,0.000379743
80,2853.65,1.09074,0.7094,1.05035,0.79973,0.72297,0.80124,0.52561,1.38705,0.94568,1.27958,0.000363239,0.000363239,0.000363239
81,2889.09,1.08915,0.70219,1.04378,0.77534,0.75392,0.80788,0.53492,1.3596,0.94014,1.25887,0.000346736,0.000346736,0.000346736
82,2924.8,1.09927,0.71634,1.05048,0.80869,0.72999,0.80778,0.53807,1.37433,0.92121,1.26647,0.000330233,0.000330233,0.000330233
83,2959.89,1.07247,0.69593,1.04336,0.81951,0.72849,0.80256,0.53269,1.3641,0.93735,1.26948,0.000313729,0.000313729,0.000313729
84,2995.33,1.06327,0.69063,1.03723,0.7903,0.72737,0.80281,0.53606,1.3682,0.93416,1.26827,0.000297226,0.000297226,0.000297226
85,3030.54,1.05281,0.68536,1.03179,0.81471,0.71684,0.81164,0.53843,1.36174,0.91079,1.27459,0.000280723,0.000280723,0.000280723
86,3065.97,1.03364,0.67731,1.02234,0.80377,0.75253,0.8185,0.54561,1.36381,0.90577,1.28071,0.00026422,0.00026422,0.00026422
87,3101.1,1.03509,0.6735,1.02953,0.82964,0.72051,0.80547,0.53294,1.37031,0.92,1.27362,0.000247716,0.000247716,0.000247716
88,3136.37,1.03994,0.67099,1.0228,0.79905,0.73472,0.80826,0.53037,1.37531,0.91304,1.28427,0.000231213,0.000231213,0.000231213
