epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,29394.3,1.0056,0.60415,1.06303,0.85301,0.75691,0.82031,0.53831,1.19246,0.71127,1.20376,0.004852,0.004852,0.004852
80,29766.9,0.99663,0.59359,1.05716,0.85293,0.7569,0.82044,0.53836,1.19248,0.71104,1.20388,0.004786,0.004786,0.004786
81,30139.9,0.9981,0.59416,1.05886,0.85442,0.75695,0.82136,0.53842,1.19209,0.71094,1.20393,0.00472,0.00472,0.00472
82,30511.9,0.99465,0.5922,1.05738,0.85419,0.75796,0.82202,0.53863,1.19221,0.71095,1.20393,0.004654,0.004654,0.004654
83,30883.9,0.99213,0.59542,1.05173,0.85544,0.7582,0.8218,0.53845,1.19182,0.71076,1.20373,0.004588,0.004588,0.004588
84,31255.3,0.98464,0.59038,1.0477,0.85517,0.75927,0.82166,0.53875,1.19152,0.71075,1.2034,0.004522,0.004522,0.004522
85,31626.7,0.98431,0.58477,1.05377,0.85536,0.75945,0.82161,0.53861,1.1911,0.70971,1.20334,0.004456,0.004456,0.004456
86,31997.6,0.98063,0.58031,1.05296,0.85501,0.75953,0.82154,0.53917,1.19107,0.70871,1.20345,0.00439,0.00439,0.00439
87,32370,0.97009,0.57352,1.04555,0.85546,0.75869,0.82108,0.53933,1.19091,0.70858,1.20354,0.004324,0.004324,0.004324
88,32750.4,0.97095,0.57757,1.04513,0.85473,0.75878,0.82146,0.53942,1.19091,0.70858,1.20384,0.004258,0.004258,0.004258
89,33121.7,0.96881,0.56924,1.04123,0.85496,0.75997,0.82125,0.53931,1.19103,0.70887,1.20422,0.004192,0.004192,0.004192
90,33493,0.96876,0.56579,1.03734,0.85479,0.7595,0.82118,0.53933,1.19074,0.70888,1.20408,0.004126,0.004126,0.004126
91,33863.5,0.96018,0.56331,1.03428,0.85415,0.76094,0.82105,0.53915,1.19041,0.7091,1.20399,0.00406,0.00406,0.00406
92,34234.5,0.94696,0.55754,1.03096,0.85482,0.76042,0.82148,0.53946,1.19024,0.70892,1.20398,0.003994,0.003994,0.003994
93,34605.5,0.94775,0.55533,1.03021,0.85545,0.76007,0.82124,0.53949,1.19,0.70873,1.20392,0.003928,0.003928,0.003928
94,34977,0.94741,0.55444,1.02961,0.85453,0.76142,0.8215,0.53975,1.18995,0.70888,1.20417,0.003862,0.003862,0.003862
95,35349,0.93957,0.54589,1.02639,0.85407,0.76275,0.82159,0.54022,1.1898,0.70878,1.20427,0.003796,0.003796,0.003796
96,35719.6,0.93077,0.54282,1.02288,0.85526,0.76226,0.82219,0.5402,1.18984,0.70925,1.20421,0.00373,0.00373,0.00373
97,36091,0.93213,0.54377,1.02325,0.85638,0.76204,0.82228,0.54078,1.18952,0.70872,1.204,0.003664,0.003664,0.003664
98,36461.9,0.93287,0.54042,1.02035,0.85578,0.76018,0.82221,0.54066,1.18923,0.7078,1.20386,0.003598,0.003598,0.003598
99,36833.9,0.91759,0.5323,1.01696,0.85563,0.75959,0.82177,0.54101,1.18896,0.70781,1.20392,0.003532,0.003532,0.003532
100,37206,0.91654,0.53016,1.0137,0.85489,0.75952,0.82153,0.54073,1.18893,0.70724,1.20392,0.003466,0.003466,0.003466
101,37578.3,0.91698,0.53141,1.01182,0.85469,0.75856,0.8211,0.54059,1.1889,0.70696,1.20402,0.0034,0.0034,0.0034
102,37950,0.91364,0.53109,1.01266,0.85608,0.75982,0.82152,0.54085,1.18884,0.70667,1.20404,0.003334,0.003334,0.003334
103,38321.9,0.91165,0.52847,1.01028,0.85718,0.75882,0.82182,0.54085,1.18862,0.70693,1.20378,0.003268,0.003268,0.003268
104,38692.6,0.90669,0.52016,1.01224,0.8597,0.75587,0.82177,0.54128,1.1879,0.70687,1.20368,0.003202,0.003202,0.003202
105,39064.1,0.8997,0.5222,1.00915,0.85914,0.75631,0.82164,0.5414,1.18797,0.70711,1.20388,0.003136,0.003136,0.003136
106,39435.7,0.89754,0.51743,1.00849,0.85877,0.75651,0.82171,0.5417,1.188,0.70674,1.20401,0.00307,0.00307,0.00307
107,39807.3,0.89325,0.51278,1.00683,0.85884,0.75674,0.82168,0.54171,1.18803,0.70733,1.20433,0.003004,0.003004,0.003004
108,40178.9,0.8769,0.5018,1.00167,0.85989,0.75668,0.82125,0.54186,1.18827,0.70729,1.20477,0.002938,0.002938,0.002938
109,40550.4,0.88253,0.50592,0.99944,0.85972,0.75687,0.82131,0.54227,1.18815,0.70746,1.20474,0.002872,0.002872,0.002872
110,40921,0.87295,0.50035,0.99835,0.85576,0.75841,0.82123,0.54234,1.18861,0.70755,1.20525,0.002806,0.002806,0.002806
111,41292.1,0.87209,0.49856,0.99566,0.85606,0.75851,0.82128,0.54234,1.18852,0.70796,1.20543,0.00274,0.00274,0.00274
112,41663.4,0.86194,0.49495,0.99324,0.85526,0.75967,0.82166,0.54284,1.18809,0.70746,1.20531,0.002674,0.002674,0.002674
113,42034.5,0.86308,0.49145,0.99023,0.85492,0.75985,0.82129,0.54258,1.18828,0.70794,1.2055,0.002608,0.002608,0.002608
114,42405.7,0.86294,0.48887,0.98747,0.8555,0.76065,0.8215,0.5424,1.18834,0.70777,1.20565,0.002542,0.002542,0.002542
115,42775.1,0.85744,0.48721,0.98956,0.8561,0.76035,0.82181,0.54269,1.1885,0.70831,1.20586,0.002476,0.002476,0.002476
116,43145.8,0.85402,0.48405,0.98693,0.8552,0.76058,0.82147,0.54222,1.18853,0.7085,1.20605,0.00241,0.00241,0.00241
117,43516.5,0.84756,0.47997,0.98438,0.85496,0.76002,0.82157,0.54272,1.18859,0.70867,1.20597,0.002344,0.002344,0.002344
118,43887,0.84177,0.47997,0.98145,0.8545,0.76073,0.8215,0.54267,1.18845,0.70917,1.20612,0.002278,0.002278,0.002278
119,44257.8,0.83863,0.4763,0.98491,0.8548,0.75993,0.82134,0.54239,1.18859,0.70989,1.20625,0.002212,0.002212,0.002212
120,44628.5,0.83593,0.47473,0.98017,0.85523,0.76001,0.82122,0.54239,1.18823,0.71039,1.20622,0.002146,0.002146,0.002146
